Feature,CPF,Disting,Distinct,Feat_Length,BR_Label,WB_Label,Feat_Source,Toddler_Access,SD_Toddler_Access_Ratings,N_Toddler_Access_Ratings
a_family_gathering,1,D,1,18,taxonomic,superordinate,LLAMA,4.39,1.87,38
a_family_member,4,ND,0.25,15,taxonomic,superordinate,LLAMA,5.71,1.42,41
a_fashion_accessory,3,ND,0.333,19,taxonomic,superordinate,MCSM,2.67,1.67,36
a_fast_food,2,D,0.5,11,taxonomic,superordinate,LLAMA,4.12,2.06,74
a_father,3,ND,0.333,8,taxonomic,coordinate,LLAMA,6.3,1.22,37
a_father's_brother,1,D,1,18,taxonomic,coordinate,LLAMA,3.33,1.85,36
a_faucet,1,D,1,8,taxonomic,synonym,MCSM,4.53,2.09,36
a_feline,2,D,0.5,8,taxonomic,superordinate,MCSM,3.25,2.06,36
a_female_sex_organ,1,D,1,18,taxonomic,superordinate,LLAMA,1.74,1.25,38
a_film,1,D,1,6,taxonomic,superordinate,LLAMA,2.92,1.58,38
a_fish,16,ND,0.062,6,taxonomic,superordinate,MCSM,5.11,1.93,38
a_flavour,1,D,1,9,taxonomic,superordinate,LLAMA,3.92,1.84,38
a_flower,1,D,1,8,taxonomic,superordinate,MCSM,5.68,1.4,38
a_food,32,ND,0.031,6,taxonomic,superordinate,MCSM,5.88,1.38,41
a_footwear,2,D,0.5,10,taxonomic,superordinate,MCSM,4.5,2.24,36
a_forest,1,D,1,8,taxonomic,coordinate,LLAMA,4.14,2.06,37
a_form_of_water,3,ND,0.333,15,taxonomic,superordinate,LLAMA,4.39,1.84,72
a_friend,2,D,0.5,8,taxonomic,superordinate,LLAMA,5.21,1.73,38
a_frog,1,D,1,6,taxonomic,coordinate,MCSM,4.65,1.72,40
a_fruit,32,ND,0.031,7,taxonomic,superordinate,MCSM,5.74,1.62,38
a_fungus,1,D,1,8,taxonomic,superordinate,MCSM,2.03,1.55,37
a_game,1,D,1,6,taxonomic,superordinate,LLAMA,5.78,1.31,36
a_gathering_of_friends,1,D,1,22,taxonomic,superordinate,LLAMA,3.59,1.94,39
a_gathering_of_people,2,D,0.5,21,taxonomic,superordinate,LLAMA,3.83,1.84,40
a_gift,1,D,1,6,taxonomic,synonym,LLAMA,5.58,1.36,36
a_girl,3,ND,0.333,6,taxonomic,coordinate,LLAMA,5.41,1.69,34
a_girl,3,ND,0.333,6,taxonomic,subordinate,LLAMA,5.41,1.69,34
a_girl,3,ND,0.333,6,taxonomic,superordinate,LLAMA,5.41,1.69,34
a_grain,1,D,1,7,taxonomic,superordinate,MCSM,2.7,1.76,40
a_gun,6,ND,0.167,5,taxonomic,superordinate,MCSM,3.55,2.2,38
a_hardware,1,D,1,10,taxonomic,superordinate,MCSM,2.92,1.6,38
a_hat,1,D,1,5,taxonomic,coordinate,MCSM,4.03,2.14,34
a_herb,1,D,1,6,taxonomic,superordinate,MCSM,2.62,1.75,40
a_herbivore,5,ND,0.2,11,taxonomic,superordinate,MCSM,2.17,1.76,36
a_hero,1,D,1,6,encyclopaedic,superordinate,LLAMA,4.76,1.72,38
a_home,1,D,1,6,taxonomic,coordinate,LLAMA,5.38,1.87,39
a_horse,2,D,0.5,7,taxonomic,coordinate,MCSM,5.35,1.6,37
a_hotel,1,D,1,7,taxonomic,coordinate,MCSM,2.52,1.59,75
a_house,7,ND,0.143,7,taxonomic,superordinate,MCSM,5.58,1.57,38
a_house_entrance,1,D,1,16,taxonomic,synonym,LLAMA,3.77,1.86,35
a_human,8,ND,0.125,7,taxonomic,superordinate,LLAMA,4.84,1.98,37
a_jacket,1,D,1,8,taxonomic,superordinate,MCSM,4.74,1.94,39
a_jewel,1,D,1,7,taxonomic,superordinate,MCSM,2.95,1.52,40
a_jewelry,3,ND,0.333,9,taxonomic,superordinate,MCSM,4.11,1.91,38
a_job,2,D,0.5,5,taxonomic,superordinate,LLAMA,4.14,1.62,36
a_joint_(body),4,ND,0.25,14,taxonomic,superordinate,LLAMA,2.87,1.93,70
a_kid,1,D,1,5,taxonomic,superordinate,LLAMA,5.87,1.36,38
a_knife,2,D,0.5,7,taxonomic,superordinate,MCSM,3.62,2.05,40
a_lake,1,D,1,6,taxonomic,subordinate,LLAMA,4.55,2.02,38
a_lie,1,D,1,5,taxonomic,synonym,LLAMA,4.34,2.08,38
a_light_fixture,1,D,1,15,taxonomic,superordinate,MCSM,2.92,1.78,36
a_lingerie,1,D,1,10,taxonomic,superordinate,MCSM,1.57,1.15,40
a_litter_box,1,D,1,12,taxonomic,individual,LLAMA,3.91,1.98,35
a_lizard,2,D,0.5,8,taxonomic,superordinate,MCSM,4.38,1.71,37
a_loaf,1,D,1,6,taxonomic,synonym,MCSM,3.85,1.92,34
a_long_knife,1,D,1,12,taxonomic,coordinate,MCSM,2.2,1.38,41
a_machine,5,ND,0.2,9,taxonomic,superordinate,MCSM,4.16,1.88,37
a_male_chicken,1,D,1,14,taxonomic,synonym,MCSM,4.16,1.76,37
a_male_sex_organ,1,D,1,16,taxonomic,superordinate,LLAMA,1.86,1.49,37
a_mammal,46,ND,0.022,8,taxonomic,superordinate,MCSM,2.08,1.38,38
a_man,5,ND,0.2,5,taxonomic,superordinate,LLAMA,6.08,1.5,36
a_medical_professional,2,D,0.5,22,taxonomic,superordinate,LLAMA,3.61,2.05,38
a_melon,2,D,0.5,7,taxonomic,superordinate,MCSM,4.14,1.87,69
a_mineral,1,D,1,9,taxonomic,superordinate,LLAMA,1.58,1.11,38
a_mittens,1,D,1,9,taxonomic,coordinate,MCSM,5.36,1.57,42
a_mother,5,ND,0.2,8,taxonomic,coordinate,LLAMA,5.82,1.55,72
a_mug,1,D,1,5,taxonomic,coordinate,MCSM,4.12,1.71,43
a_music,3,ND,0.333,7,taxonomic,superordinate,MCSM,4.08,2.1,36
a_musical_instrument,18,ND,0.056,20,taxonomic,superordinate,MCSM,5.15,1.65,41
a_noodle,1,D,1,8,taxonomic,coordinate,LLAMA,5.31,1.8,71
a_nut,1,D,1,5,taxonomic,superordinate,MCSM,4.67,1.75,39
a_pan,1,D,1,5,taxonomic,superordinate,MCSM,4.14,2.04,37
a_panties,1,D,1,9,taxonomic,synonym,LLAMA,4.71,1.92,35
a_pants,1,D,1,7,taxonomic,synonym,MCSM,4.82,1.87,38
a_pantyhose,1,D,1,11,taxonomic,synonym,MCSM,2.15,1.73,40
a_paper,1,D,1,7,taxonomic,synonym,MCSM,4,2.05,38
a_parent,2,D,0.5,8,taxonomic,coordinate,LLAMA,5.92,1.52,36
a_parent's_brother,1,D,1,18,taxonomic,coordinate,LLAMA,3.97,1.99,38
a_pasta,1,D,1,7,taxonomic,superordinate,LLAMA,4.49,2.06,37
a_pathway,3,ND,0.333,9,taxonomic,superordinate,LLAMA,3.85,1.86,39
a_patty,1,D,1,7,taxonomic,synonym,LLAMA,3.75,1.76,36
a_performance,1,D,1,13,taxonomic,superordinate,LLAMA,3.51,2.04,37
a_pest,1,D,1,6,taxonomic,superordinate,MCSM,3.88,1.92,40
a_pet,15,ND,0.067,5,taxonomic,superordinate,MCSM,6.05,1.28,40
a_piano,1,D,1,7,taxonomic,coordinate,MCSM,4.87,1.88,38
a_pillow,1,D,1,8,taxonomic,synonym,MCSM,4.74,2.14,34
a_place_for_being_safe,1,D,1,22,function,function,LLAMA,5.09,1.87,77
a_place_for_buying/selling_clothes,1,D,1,34,function,function,LLAMA,4.39,2.07,72
a_place_for_buying/selling_groceries,1,D,1,36,function,function,LLAMA,5.19,1.93,75
a_place_for_buying/selling_things,2,D,0.5,33,function,function,LLAMA,4.51,1.73,73
a_place_for_children,2,D,0.5,20,function,function,LLAMA,5.56,1.42,41
a_place_for_education,1,D,1,21,function,function,LLAMA,4.36,1.5,36
a_place_for_family,4,ND,0.25,18,function,function,LLAMA,5.08,1.68,72
a_place_for_gathering,3,ND,0.333,21,function,function,LLAMA,3.51,1.94,77
a_place_for_growing_things,1,D,1,26,function,function,LLAMA,4.82,1.58,76
a_place_for_learning,1,D,1,20,function,function,LLAMA,5.08,1.54,73
a_place_for_shopping,2,D,0.5,20,function,function,LLAMA,4.87,1.88,75
a_place_for_walking_dogs,1,D,1,24,function,function,LLAMA,4.89,1.66,75
a_plant,6,ND,0.167,7,taxonomic,superordinate,MCSM,5.19,1.72,36
a_plate,1,D,1,7,taxonomic,coordinate,MCSM,4.32,2.14,71
a_pond,1,D,1,6,taxonomic,subordinate,LLAMA,4.83,1.42,36
a_poultry,1,D,1,9,taxonomic,superordinate,MCSM,2,1.33,37
a_powder,1,D,1,8,visual-form_and_surface,external_surface_property,LLAMA,2.95,1.86,38
a_predator,9,ND,0.111,10,taxonomic,superordinate,MCSM,2.85,2.02,39
a_primate,1,D,1,9,taxonomic,superordinate,LLAMA,2.79,1.86,38
a_prize,1,D,1,7,taxonomic,superordinate,MCSM,4.97,1.48,35
a_provider,1,D,1,10,taxonomic,superordinate,LLAMA,3.34,2.26,35
a_puddle,1,D,1,8,taxonomic,subordinate,LLAMA,5.74,1.18,38
a_rabbit,2,D,0.5,8,taxonomic,coordinate,MCSM,5.29,1.83,34
a_rear_end,1,D,1,10,taxonomic,synonym,LLAMA,4.42,2.25,38
a_relative,4,ND,0.25,10,taxonomic,superordinate,LLAMA,5.1,1.95,40
a_relative_of_cats,1,D,1,18,taxonomic,coordinate,MCSM,2.92,1.7,40
a_relative_of_frogs,1,D,1,19,taxonomic,coordinate,MCSM,4,1.86,35
a_relative_of_humans,1,D,1,20,taxonomic,coordinate,MCSM,2.69,1.7,36
a_reptile,9,ND,0.111,9,taxonomic,superordinate,MCSM,4.03,1.75,38
a_reward,1,D,1,8,taxonomic,superordinate,MCSM,3.85,1.62,41
a_river,1,D,1,7,taxonomic,subordinate,LLAMA,4.61,1.81,38
a_road,1,D,1,6,taxonomic,synonym,LLAMA,4.97,1.59,38
a_rock,1,D,1,6,taxonomic,synonym,MCSM,4.33,1.77,40
a_rodent,5,ND,0.2,8,taxonomic,superordinate,MCSM,3.36,2.06,33
a_room,5,ND,0.2,6,taxonomic,superordinate,MCSM,5.42,1.61,36
a_root,3,ND,0.333,6,taxonomic,superordinate,MCSM,2.43,1.8,37
a_rug,1,D,1,5,taxonomic,synonym,MCSM,4.3,1.83,40
a_safety_accessory,1,D,1,18,taxonomic,superordinate,MCSM,3.6,1.75,40
a_scavenger,5,ND,0.2,11,taxonomic,superordinate,MCSM,1.85,1.42,39
a_seafood,4,ND,0.25,9,taxonomic,superordinate,MCSM,4.3,1.83,40
a_seasoning,2,D,0.5,11,taxonomic,superordinate,MCSM,2.57,1.61,37
a_sheep,1,D,1,7,taxonomic,subordinate,LLAMA,4.43,1.91,37
a_ship,1,D,1,6,taxonomic,coordinate,LLAMA,4.84,1.99,38
a_shirt,1,D,1,7,taxonomic,coordinate,MCSM,4.72,1.88,39
a_shoe,3,ND,0.333,6,taxonomic,coordinate,MCSM,6.03,1.1,35
a_shovel,1,D,1,8,taxonomic,coordinate,MCSM,4,1.99,39
a_sibling,3,ND,0.333,9,taxonomic,coordinate,LLAMA,4.34,1.85,35
a_side_dish,2,D,0.5,11,taxonomic,superordinate,LLAMA,2.82,1.68,34
a_sign,1,D,1,6,taxonomic,coordinate,MCSM,3.35,1.87,37
a_sister,2,D,0.5,8,taxonomic,coordinate,LLAMA,4.36,2,42
a_small_horse,1,D,1,13,taxonomic,synonym,MCSM,4.79,1.54,39
a_snack,9,ND,0.111,7,taxonomic,superordinate,LLAMA,6.25,1.19,40
a_snake,1,D,1,7,taxonomic,superordinate,MCSM,4.54,1.89,39
a_son,1,D,1,5,taxonomic,coordinate,LLAMA,4.22,2.04,40
a_space,2,D,0.5,7,taxonomic,superordinate,MCSM,3.35,1.98,40
a_spice,2,D,0.5,7,taxonomic,superordinate,MCSM,3.06,1.87,36
a_spoon,1,D,1,7,taxonomic,coordinate,MCSM,4.58,2.14,36
a_stairs,1,D,1,8,taxonomic,coordinate,MCSM,4.38,2.14,39
a_star,1,D,1,6,taxonomic,coordinate,LLAMA,3.77,2.16,35
a_stick,1,D,1,7,taxonomic,coordinate,MCSM,5.05,1.9,38
a_stockings,1,D,1,11,taxonomic,synonym,MCSM,2.57,1.34,37
a_stomach,1,D,1,9,taxonomic,synonym,LLAMA,5.51,1.66,37
a_stone,3,ND,0.333,7,taxonomic,synonym,MCSM,4.61,1.93,41
a_stream,1,D,1,8,taxonomic,subordinate,LLAMA,3.64,1.68,42
a_stuffed_animal,1,D,1,16,taxonomic,superordinate,LLAMA,6.27,1.28,37
a_sun,1,D,1,5,encyclopaedic,coordinate,LLAMA,4.45,2.4,38
a_supplement,1,D,1,12,taxonomic,superordinate,LLAMA,1.76,1.59,37
a_surprise,1,D,1,10,encyclopaedic,associated_abstract_entity,LLAMA,5.49,1.25,35
a_tale,1,D,1,6,taxonomic,synonym,LLAMA,3.87,1.83,38
a_tap,1,D,1,5,taxonomic,synonym,MCSM,3.3,2,37
a_teenager,1,D,1,10,taxonomic,superordinate,LLAMA,3.35,2.06,37
a_tights,1,D,1,8,taxonomic,synonym,MCSM,2.89,1.74,37
a_toilet,1,D,1,8,taxonomic,synonym,LLAMA,6.06,1.31,71
a_tool,18,ND,0.056,6,taxonomic,superordinate,MCSM,3.71,1.72,38
a_top_of_a_building,1,D,1,19,taxonomic,synonym,LLAMA,4.27,2.05,37
a_topping,1,D,1,9,taxonomic,superordinate,LLAMA,3.61,1.5,38
a_toy,10,ND,0.1,5,taxonomic,superordinate,MCSM,6.31,1.45,36
a_train,1,D,1,7,taxonomic,coordinate,MCSM,3.92,2.03,37
a_treat,5,ND,0.2,7,encyclopaedic,evaluation,MCSM,5.49,1.8,73
a_tree,5,ND,0.2,6,taxonomic,superordinate,MCSM,4.74,2.3,39
a_truck,1,D,1,7,taxonomic,coordinate,MCSM,5.09,1.77,35
a_tube,1,D,1,6,taxonomic,coordinate,MCSM,3.29,1.66,38
a_turtle,1,D,1,8,taxonomic,coordinate,MCSM,5.1,1.86,39
a_type_of_wood,1,D,1,14,taxonomic,superordinate,MCSM,2.92,1.98,38
a_UFO,1,D,1,5,taxonomic,synonym,MCSM,2.65,1.67,37
a_utensil,12,ND,0.083,9,taxonomic,superordinate,MCSM,3.62,2.02,42
a_van,1,D,1,5,taxonomic,coordinate,MCSM,3.94,2.1,35
a_vegetable,31,ND,0.032,11,taxonomic,superordinate,MCSM,5.27,1.57,37
a_vehicle,16,ND,0.062,9,taxonomic,superordinate,MCSM,4.86,1.83,42
a_vice,1,D,1,6,taxonomic,synonym,MCSM,1.97,1.44,38
a_watch,1,D,1,7,taxonomic,coordinate,MCSM,4.08,1.89,38
a_weapon,29,ND,0.034,8,taxonomic,superordinate,MCSM,3,1.71,38
a_weed,1,D,1,6,taxonomic,superordinate,MCSM,3.64,1.74,39
a_wolf,1,D,1,6,taxonomic,coordinate,MCSM,3.61,1.97,70
a_woman,5,ND,0.2,7,taxonomic,superordinate,LLAMA,5.56,1.61,36
a_wonder_of_the_world,1,D,1,21,taxonomic,superordinate,MCSM,1.83,1.34,36
a_woodwind,1,D,1,10,taxonomic,superordinate,MCSM,2.09,1.93,35
an_adhesive,1,D,1,11,taxonomic,superordinate,LLAMA,2.92,1.93,40
an_airplane,1,D,1,11,taxonomic,coordinate,MCSM,5.05,1.93,40
an_American_currency,1,D,1,20,taxonomic,superordinate,LLAMA,3.66,2.14,41
an_amphibian,3,ND,0.333,12,taxonomic,superordinate,MCSM,2.73,1.97,40
an_animal,109,ND,0.009,9,taxonomic,superordinate,MCSM,6.12,1.5,43
an_appliance,13,ND,0.077,12,taxonomic,superordinate,MCSM,3.43,2.03,37
an_award,2,D,0.5,8,taxonomic,superordinate,MCSM,3.64,2.15,39
an_axe,2,D,0.5,6,taxonomic,coordinate,MCSM,3.17,1.91,40
an_educator,1,D,1,11,taxonomic,coordinate,LLAMA,3.47,1.98,36
an_evergreen,2,D,0.5,12,taxonomic,superordinate,MCSM,2.77,1.9,39
an_explosive,1,D,1,12,taxonomic,superordinate,MCSM,3.21,1.79,39
an_extract,1,D,1,10,taxonomic,superordinate,LLAMA,2,1.43,37
an_image,1,D,1,8,taxonomic,coordinate,LLAMA,3.13,2.07,39
an_inanimate,1,D,1,12,taxonomic,superordinate,MCSM,2.66,2.12,38
an_injury,1,D,1,9,taxonomic,coordinate,LLAMA,5.42,1.72,38
an_innie,1,D,1,8,taxonomic,subordinate,LLAMA,3.86,1.81,37
an_insect,14,ND,0.071,9,taxonomic,superordinate,MCSM,5.24,1.75,33
an_instructor,1,D,1,13,taxonomic,synonym,LLAMA,2.95,1.79,80
an_instrument,1,D,1,13,taxonomic,superordinate,MCSM,2.27,1.52,37
an_Italian_food,2,D,0.5,15,taxonomic,superordinate,LLAMA,2.92,1.61,36
an_ocean,2,D,0.5,8,taxonomic,subordinate,LLAMA,4.52,1.58,42
an_odor,1,D,1,7,taxonomic,subordinate,LLAMA,4.65,1.84,37
an_officer,1,D,1,10,taxonomic,individual,LLAMA,4.58,1.86,36
an_offspring,1,D,1,12,taxonomic,synonym,LLAMA,3.17,2.1,36
an_opening,1,D,1,10,visual-form_and_surface,systemic_property,LLAMA,4.43,1.88,70
an_outie,1,D,1,8,taxonomic,subordinate,LLAMA,4.36,1.81,39
an_oven,1,D,1,7,taxonomic,superordinate,MCSM,4.47,2.17,38
an_undergarment,2,D,0.5,15,taxonomic,superordinate,MCSM,2.95,1.58,37
an_underwear,1,D,1,12,taxonomic,synonym,LLAMA,4.97,1.56,36
"associated_with__""where_the_heart_is""",1,D,1,37,encyclopaedic,associated_abstract_entity,LLAMA,2.59,1.92,37
associated_with_2_bedrooms,1,D,1,26,encyclopaedic,associated_entity,MCSM,2.62,1.88,40
associated_with_accidents,1,D,1,25,encyclopaedic,associated_entity,LLAMA,4.69,2.12,42
associated_with_achievements,1,D,1,28,encyclopaedic,associated_abstract_entity,MCSM,3.05,1.82,38
associated_with_angels,1,D,1,22,encyclopaedic,associated_abstract_entity,MCSM,2.88,1.82,41
associated_with_atmosphere,1,D,1,26,encyclopaedic,associated_entity,LLAMA,2.14,1.63,42
associated_with_babies,1,D,1,22,encyclopaedic,associated_entity,MCSM,5.24,1.69,78
associated_with_bad_hair_days,1,D,1,29,encyclopaedic,associated_abstract_entity,MCSM,3.29,2.08,38
associated_with_baseball,1,D,1,24,encyclopaedic,associated_entity,MCSM,2.53,1.67,34
associated_with_bathing_suits,1,D,1,29,encyclopaedic,associated_entity,LLAMA,4.51,1.84,74
associated_with_Batman,1,D,1,22,encyclopaedic,associated_abstract_entity,MCSM,5.27,1.77,37
associated_with_Bell,1,D,1,20,encyclopaedic,associated_entity,MCSM,3.19,2.13,37
associated_with_cartoons,1,D,1,24,encyclopaedic,associated_entity,MCSM,4.28,2.05,36
associated_with_cheese,1,D,1,22,encyclopaedic,associated_entity,MCSM,3.07,2.03,71
associated_with_China,1,D,1,21,encyclopaedic,associated_entity,MCSM,2.62,1.76,39
associated_with_christmas,2,D,0.5,25,encyclopaedic,time,LLAMA,4.55,1.64,33
associated_with_cigarettes,1,D,1,26,encyclopaedic,associated_abstract_entity,MCSM,1.75,1.06,40
associated_with_colds,1,D,1,21,encyclopaedic,associated_entity,LLAMA,4.22,1.84,36
associated_with_cooking_outdoors,1,D,1,32,encyclopaedic,associated_entity,LLAMA,3.44,1.75,41
associated_with_cotton_candy,1,D,1,28,encyclopaedic,associated_entity,LLAMA,4.05,1.83,38
associated_with_couch_potato,1,D,1,28,encyclopaedic,associated_entity,MCSM,2.68,1.94,75
associated_with_countries,1,D,1,25,encyclopaedic,associated_entity,LLAMA,2.45,1.55,38
associated_with_current_time,1,D,1,28,encyclopaedic,time,LLAMA,1.92,1.53,37
associated_with_dalmation_dogs,2,D,0.5,30,encyclopaedic,associated_entity,LLAMA,3.59,1.85,37
associated_with_dance,1,D,1,21,encyclopaedic,associated_entity,LLAMA,4.11,2.01,37
associated_with_dogs,1,D,1,20,encyclopaedic,associated_entity,LLAMA,3.75,1.86,36
associated_with_Dracula,1,D,1,23,encyclopaedic,associated_abstract_entity,MCSM,3.29,2.2,38
associated_with_Easter,2,D,0.5,22,encyclopaedic,associated_entity,MCSM,5.05,1.75,38
associated_with_Easter,2,D,0.5,22,encyclopaedic,time,MCSM,5.05,1.75,38
associated_with_England,1,D,1,23,encyclopaedic,associated_entity,LLAMA,2,1.46,33
associated_with_envelopes,1,D,1,25,encyclopaedic,associated_entity,MCSM,3.32,1.65,37
associated_with_Eskimos,1,D,1,23,encyclopaedic,associated_entity,MCSM,2.33,1.45,33
associated_with_fairy_tales,1,D,1,27,encyclopaedic,associated_abstract_entity,MCSM,3.71,1.95,35
associated_with_family/friends,2,D,0.5,30,encyclopaedic,associated_entity,LLAMA,3.45,1.69,38
associated_with_flowers,1,D,1,23,encyclopaedic,associated_entity,LLAMA,4.14,1.57,37
associated_with_flying_birds,1,D,1,28,encyclopaedic,associated_entity,LLAMA,4.21,2,77
associated_with_food,1,D,1,20,encyclopaedic,associated_entity,LLAMA,4.44,1.97,39
associated_with_football_games,1,D,1,30,encyclopaedic,associated_entity,MCSM,4.55,1.88,38
associated_with_God,1,D,1,19,encyclopaedic,associated_abstract_entity,LLAMA,3.41,2.16,34
